02110035HA.mp4,16,8,18,02110035HA.mp4.mp3.wav,0.0,0.02,0.0,0.979,0.0,3.3,6.62,11351.12,13287.47,12573.12
02250003AJ.mp4,46,23,7,02250003AJ.mp4.mp3.wav,0.765,0.017,0.081,0.118,0.019,2.75,7.35,28365.65,29645.65,30581.71
02102326MO.mp4,15,8,9,02102326MO.mp4.mp3.wav,0.002,0.016,0.0,0.982,0.0,3.02,7.65,10130.06,11963.53,10435.0
03040017DW.mp4,4,2,56,03040017DW.mp4.mp3.wav,0.01,0.028,0.001,0.002,0.96,1.88,8.5,23822.41,23857.0,23070.65
02102122CS.mp4,17,9,19,02102122CS.mp4.mp3.wav,0.619,0.0,0.167,0.214,0.0,2.94,6.57,17059.71,16641.94,15741.71
02102115RP.mp4,14,7,2,02102115RP.mp4.mp3.wav,0.012,0.163,0.003,0.822,0.0,3.03,6.83,9875.88,9369.12,7995.59
02102145VX.mp4,5,3,3,02102145VX.mp4.mp3.wav,0.001,0.587,0.001,0.411,0.0,2.82,6.42,9118.18,9106.18,7983.35
02102312AS.mp4,21,11,13,02102312AS.mp4.mp3.wav,0.007,0.145,0.002,0.846,0.0,3.31,5.04,15315.18,16001.0,15225.94
2018NON007.mp4,6,3,22,2018NON007.mp4.mp3.wav,0.006,0.451,0.002,0.541,0.0,3.19,6.03,8098.94,6928.59,8682.06
03111401TI.mp4,18,9,30,03111401TI.mp4.mp3.wav,0.085,0.118,0.048,0.746,0.004,2.76,6.9,14728.47,16432.35,16373.65
03111459JX.mp4,6,4,19,03111459JX.mp4.mp3.wav,0.006,0.011,0.002,0.982,0.0,2.77,6.31,27075.12,26329.82,24774.24
02110035IQ.mp4,11,6,3,02110035IQ.mp4.mp3.wav,0.499,0.15,0.012,0.021,0.318,2.54,7.31,27201.24,29155.88,27323.06
02242145UU.mp4,36,18,58,02242145UU.mp4.mp3.wav,0.01,0.806,0.006,0.138,0.04,2.71,6.77,11612.24,12195.18,10483.94
02102135RS.mp4,19,11,35,02102135RS.mp4.mp3.wav,0.68,0.007,0.049,0.261,0.003,3.17,7.18,27263.12,27558.65,24547.59
02242146JA.mp4,16,8,28,02242146JA.mp4.mp3.wav,0.314,0.001,0.049,0.636,0.0,2.82,6.53,28988.65,27282.18,29728.65
02102000VM.mp4,5,3,0,02102000VM.mp4.mp3.wav,0.011,0.572,0.018,0.39,0.008,2.65,6.65,19143.65,18125.24,18356.65
