02110035HA_2.mp4,21,11,20,02110035HA.mp4.mp3.wav,0.0,0.028,0.0,0.972,0.0,2.95,7.71,12570.88,14501.06,13325.24
02250003AJ_2.mp4,39,20,27,02250003AJ.mp4.mp3.wav,0.72,0.037,0.074,0.152,0.017,2.68,7.59,31081.71,31390.29,31328.35
02102326MO_2.mp4,15,8,11,02102326MO.mp4.mp3.wav,0.027,0.018,0.002,0.954,0.0,3.33,7.15,11005.82,10560.12,11515.18
03040017DW_2.mp4,9,5,53,03040017DW.mp4.mp3.wav,0.01,0.034,0.001,0.002,0.953,2.25,7.33,23724.0,23345.88,24582.76
02102122CS_2.mp4,21,13,25,02102122CS.mp4.mp3.wav,0.13,0.007,0.411,0.453,0.0,2.75,6.86,16595.12,17052.0,11953.24
02102115RP_2.mp4,15,9,0,02102115RP.mp4.mp3.wav,0.026,0.179,0.006,0.788,0.001,3.0,6.38,9628.59,10959.12,10592.76
02102145VX_2.mp4,11,6,7,02102145VX.mp4.mp3.wav,0.001,0.654,0.001,0.345,0.0,3.18,7.0,8174.47,9284.35,9410.53
02102312AS_2.mp4,23,12,13,02102312AS.mp4.mp3.wav,0.001,0.08,0.001,0.918,0.0,3.45,5.89,15783.06,16394.24,16419.12
02110035IQ_2.mp4,14,8,0,02110035IQ.mp4.mp3.wav,0.627,0.198,0.018,0.041,0.117,2.44,7.66,26825.71,28776.41,28362.76
02242145UU_2.mp4,28,14,58,02242145UU.mp4.mp3.wav,0.013,0.799,0.006,0.155,0.027,2.72,6.3,8810.29,11305.29,10007.53
02102135RS_2.mp4,8,5,38,02102135RS.mp4.mp3.wav,0.296,0.005,0.008,0.691,0.0,2.82,6.18,29075.0,25668.82,24228.41
02242133JN_2.mp4,31,16,36,02242133JN.mp4.mp3.wav,0.003,0.391,0.004,0.602,0.0,2.87,6.7,7296.71,6327.12,5257.82
02102005OI_2.mp4,9,5,4,02102005OI.mp4.mp3.wav,0.012,0.0,0.011,0.976,0.0,3.36,6.47,7119.59,6848.18,7802.24
