@RELATION svm1
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {laugh,no-laugh}

@DATA
0.112417,0.018395,3.147532,0.200815,0.195418,0.939432,0.009468,0.181406,-25.019925,1.088276,-0.495669,-0.414141,-0.249804,0.113088,-0.178226,-0.116235,0.008467,-0.228922,-0.269237,-0.095902,-0.136468,0.017835,0.008801,0.018049,0.015717,0.013950,0.011939,0.009117,0.004424,0.006501,0.013624,0.012908,0.010830,0.018229,0.079210,0.014434,0.194313,0.070604,0.028513,0.565114,0.006180,0.129480,1.482126,0.850688,0.649698,0.436271,0.387326,0.358843,0.295032,0.346781,0.315330,0.344007,0.321848,0.319672,0.378719,0.024201,0.014182,0.021233,0.019696,0.021757,0.023501,0.010666,0.006425,0.008425,0.015257,0.017499,0.019506,0.012462,laugh
0.074149,0.010200,2.986405,0.165985,0.202623,0.510880,0.012291,0.115781,-27.591287,2.643739,0.197951,0.269857,-0.198807,0.132462,-0.041016,-0.074403,0.005807,0.041923,-0.073837,0.111375,0.021418,0.018090,0.006211,0.041259,0.016688,0.028646,0.018172,0.032503,0.002363,0.011745,0.016208,0.020523,0.005471,0.024414,0.068685,0.012217,0.323321,0.081300,0.042727,0.591524,0.008874,0.148008,2.570696,0.853490,0.976243,0.485037,0.410456,0.374854,0.333615,0.297362,0.235364,0.237759,0.216487,0.209174,0.197936,0.021341,0.008155,0.037413,0.022354,0.027614,0.020098,0.031622,0.003505,0.013573,0.017696,0.021589,0.007702,0.011588,laugh
0.091335,0.007497,3.080408,0.174800,0.197479,0.737536,0.009141,0.149350,-28.101692,1.919672,-0.203739,0.010017,-0.272453,0.156395,-0.088684,-0.033273,-0.058667,0.058332,-0.098826,0.090202,0.039720,0.014670,0.005839,0.028979,0.016692,0.013321,0.016008,0.034592,0.004102,0.014260,0.017293,0.015211,0.003823,0.022171,0.074259,0.008564,0.291855,0.080012,0.037108,0.612003,0.007587,0.141556,2.543807,0.834585,0.785071,0.420036,0.494971,0.343313,0.274158,0.274723,0.265555,0.243692,0.204542,0.203747,0.207197,0.019137,0.008246,0.024111,0.020330,0.013234,0.022981,0.035989,0.007261,0.017712,0.016444,0.016750,0.003313,0.012813,laugh
0.106420,0.005966,3.070900,0.180151,0.182403,0.780717,0.008346,0.165400,-29.381625,1.785248,-0.240664,-0.073722,-0.252890,0.020610,0.072609,-0.105533,-0.011364,-0.025780,-0.086615,-0.002119,-0.070759,0.015921,0.006776,0.022696,0.016971,0.022343,0.012306,0.020776,0.003488,0.010358,0.014684,0.017257,0.008047,0.016138,0.086915,0.007568,0.223075,0.085502,0.035423,0.655334,0.005935,0.155535,2.805929,0.764031,0.546224,0.325883,0.358836,0.334513,0.275910,0.249400,0.260066,0.237940,0.271203,0.225300,0.208536,0.020811,0.006944,0.018507,0.019866,0.023952,0.013728,0.021769,0.004576,0.011642,0.014516,0.016300,0.012119,0.010061,laugh
0.068399,0.009303,3.041508,0.134994,0.153364,0.600348,0.009169,0.115019,-26.012455,1.344054,-0.934265,-0.246250,-0.408146,-0.062044,0.250581,-0.145749,-0.047365,0.002040,-0.123548,-0.059801,-0.113551,0.010634,0.010310,0.017865,0.012512,0.011128,0.013053,0.015347,0.007463,0.013026,0.019694,0.013485,0.008040,0.015241,0.023796,0.009592,0.291768,0.027351,0.026096,0.301138,0.004893,0.051771,1.390800,0.674669,0.662298,0.346777,0.455014,0.341343,0.292831,0.281325,0.216007,0.268083,0.260147,0.251205,0.213596,0.011927,0.012664,0.018558,0.014078,0.012703,0.013251,0.015614,0.010426,0.015649,0.021668,0.014335,0.008871,0.008024,laugh
0.092473,0.016060,2.973101,0.159705,0.165612,0.787126,0.015406,0.153181,-26.709144,0.928520,-0.622758,-0.550172,-0.464614,0.148613,-0.297400,-0.450297,-0.399067,-0.280900,0.066176,0.340626,0.119957,0.006487,0.004248,0.007752,0.014028,0.020620,0.031194,0.028131,0.007737,0.012124,0.009130,0.006861,0.005246,0.023241,0.089972,0.020544,0.423609,0.083016,0.042634,0.607347,0.010035,0.152203,2.673115,0.840015,0.778503,0.575043,0.448047,0.462430,0.366623,0.365730,0.380537,0.373999,0.409717,0.366880,0.298987,0.009655,0.007018,0.010878,0.029751,0.038964,0.037949,0.030493,0.012383,0.017427,0.017965,0.010273,0.011117,0.014381,laugh
0.095553,0.006997,3.111261,0.160630,0.171023,0.879827,0.006764,0.145050,-25.832931,1.180914,-0.413527,0.101265,-0.153303,0.226963,-0.153587,-0.306147,-0.183648,0.026384,-0.074156,0.099041,-0.012087,0.008682,0.005019,0.014579,0.012411,0.016762,0.017327,0.021930,0.008626,0.013237,0.013344,0.013812,0.005239,0.013333,0.041226,0.005739,0.210039,0.041366,0.026036,0.440768,0.004775,0.071279,1.564694,0.648515,0.558819,0.321094,0.303738,0.346769,0.240758,0.269371,0.248649,0.209008,0.200583,0.219077,0.197854,0.008545,0.004599,0.016838,0.015690,0.015407,0.022886,0.020248,0.010062,0.012809,0.012063,0.011815,0.004278,0.008778,laugh
0.072733,0.006545,3.030058,0.149815,0.182756,0.554869,0.010986,0.106381,-29.437512,1.818309,-0.260611,-0.061617,-0.252688,0.140366,-0.081189,-0.064498,-0.076316,-0.054430,-0.217049,-0.078820,-0.180662,0.021942,0.008350,0.021333,0.018163,0.021853,0.010889,0.019030,0.006907,0.008197,0.023606,0.024501,0.010538,0.020831,0.046715,0.010642,0.303827,0.051603,0.037557,0.434888,0.008638,0.074544,2.916667,0.808575,0.617785,0.417381,0.410421,0.314561,0.312120,0.307615,0.292802,0.289709,0.260886,0.256244,0.271002,0.024957,0.013994,0.017681,0.023127,0.023465,0.013840,0.018188,0.009787,0.009122,0.024460,0.021316,0.015024,0.009646,laugh
0.078283,0.004145,3.115823,0.132424,0.141558,0.740782,0.007524,0.118662,-27.755011,1.053242,-0.744453,-0.191795,-0.473703,0.011334,-0.087534,-0.284333,-0.001115,-0.049202,-0.069504,0.007089,0.011963,0.013185,0.008812,0.011140,0.009391,0.013420,0.013152,0.019152,0.006752,0.011011,0.014530,0.016622,0.012031,0.013991,0.027852,0.004703,0.142716,0.026949,0.021974,0.317580,0.003835,0.049149,1.732348,0.522412,0.457895,0.313377,0.305957,0.280966,0.246685,0.327224,0.282002,0.251749,0.256133,0.232475,0.201363,0.013110,0.011733,0.010872,0.008070,0.013820,0.013514,0.021142,0.009044,0.012628,0.012812,0.017058,0.012823,0.006983,laugh
0.089747,0.006573,3.124461,0.141717,0.144873,0.878449,0.006440,0.139869,-27.504499,0.747381,-0.805969,-0.106331,-0.399778,-0.001321,0.074644,-0.229902,0.023579,-0.148807,0.001454,0.038770,-0.020086,0.008707,0.008378,0.014096,0.010399,0.012908,0.010682,0.012354,0.009380,0.009513,0.011976,0.010655,0.006201,0.010750,0.029730,0.007015,0.198934,0.025474,0.022819,0.362333,0.003120,0.055912,1.798472,0.615767,0.480262,0.396369,0.306452,0.274651,0.267628,0.266377,0.268739,0.261791,0.214209,0.232835,0.214584,0.007957,0.010308,0.013000,0.011663,0.011524,0.010066,0.011097,0.012437,0.010257,0.010496,0.009069,0.006191,0.006075,laugh
